['f', 'f', 'g', 'f', 'n', 'f', 'w', 'b', 'n', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 'a', 'g'] is classified as: e. True class: e
['f', 'f', 'w', 'f', 'n', 'f', 'w', 'b', 'n', 't', 'f', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 's', 'g'] is classified as: e. True class: e
['f', 's', 'n', 'f', 'n', 'f', 'c', 'b', 'w', 'e', 'y', 'y', 'n', 'n', 'p', 'w', 't', 'p', 'w', 'y', 'd'] is classified as: e. True class: e
['f', 'f', 'n', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'g', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd'] is classified as: e. True class: e
['b', 's', 'n', 'f', 'n', 'a', 'c', 'b', 'o', 'e', 's', 's', 'o', 'o', 'p', 'o', 'o', 'p', 'n', 'c', 'l'] is classified as: e. True class: e
['k', 'y', 'e', 'f', 'y', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd'] is classified as: p. True class: p
['f', 'f', 'n', 'f', 'n', 'f', 'w', 'b', 'h', 't', 's', 'f', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 'a', 'g'] is classified as: e. True class: e
['x', 'y', 'n', 'f', 's', 'f', 'c', 'n', 'b', 't', 'k', 's', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'l'] is classified as: p. True class: p
['x', 'f', 'n', 'f', 'n', 'f', 'w', 'b', 'n', 't', 'f', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'n', 'a', 'g'] is classified as: e. True class: e
['f', 'f', 'n', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'w', 'g', 'p', 'w', 'o', 'p', 'n', 'v', 'd'] is classified as: e. True class: e
['x', 'f', 'y', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'p', 'b', 'p', 'w', 'o', 'l', 'h', 'y', 'd'] is classified as: p. True class: p
['f', 's', 'w', 't', 'f', 'f', 'c', 'b', 'w', 't', 'f', 'f', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 'v', 'g'] is classified as: p. True class: p
['f', 'f', 'g', 't', 'n', 'f', 'c', 'b', 'u', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'd'] is classified as: e. True class: e
['f', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'g', 'g', 'p', 'w', 'o', 'p', 'k', 'y', 'd'] is classified as: e. True class: e
['x', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd'] is classified as: e. True class: e
['f', 's', 'b', 't', 'f', 'f', 'c', 'b', 'h', 't', 'f', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'h', 's', 'g'] is classified as: p. True class: p
['b', 'y', 'w', 't', 'l', 'f', 'c', 'b', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 's', 'm'] is classified as: e. True class: e
['f', 's', 'y', 't', 'l', 'f', 'w', 'n', 'p', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd'] is classified as: e. True class: e
['f', 'y', 'n', 'f', 'n', 'f', 'c', 'n', 'w', 'e', 'k', 'y', 'w', 'n', 'p', 'w', 'o', 'e', 'w', 'v', 'd'] is classified as: e. True class: p
['f', 'y', 'n', 't', 'n', 'f', 'c', 'b', 'w', 't', 's', 's', 'g', 'w', 'p', 'w', 'o', 'p', 'k', 'y', 'd'] is classified as: e. True class: e
['x', 's', 'n', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 'k', 'p', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'l'] is classified as: p. True class: p
['x', 'f', 'n', 't', 'n', 'f', 'c', 'b', 'p', 't', 's', 's', 'p', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'd'] is classified as: e. True class: e
['x', 'y', 'w', 't', 'l', 'f', 'c', 'b', 'n', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'n', 'm'] is classified as: e. True class: e
['x', 's', 'n', 'f', 'n', 'f', 'w', 'b', 'n', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'k', 'a', 'g'] is classified as: e. True class: e
['f', 'y', 'n', 'f', 'f', 'f', 'c', 'n', 'b', 't', 'k', 's', 'w', 'w', 'p', 'w', 'o', 'e', 'w', 'v', 'd'] is classified as: p. True class: p
['x', 'y', 'g', 'f', 'f', 'f', 'c', 'b', 'h', 'e', 'k', 'k', 'n', 'n', 'p', 'w', 'o', 'l', 'h', 'v', 'd'] is classified as: p. True class: p
['k', 's', 'w', 'f', 'n', 'f', 'w', 'b', 'p', 'e', 'k', 'k', 'w', 'w', 'p', 'w', 't', 'p', 'w', 'n', 'g'] is classified as: e. True class: e
['x', 'f', 'n', 'f', 'n', 'f', 'c', 'n', 'p', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 'v', 'u'] is classified as: e. True class: e
['x', 'f', 'p', 'f', 'c', 'f', 'w', 'n', 'g', 'e', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'k', 's', 'd'] is classified as: p. True class: p
['x', 'f', 'w', 't', 'l', 'f', 'w', 'n', 'p', 't', 's', 's', 'w', 'w', 'p', 'w', 'o', 'p', 'n', 'v', 'd'] is classified as: e. True class: e
